date,open,high,low,close,volume,amount,turnover
2025-08-25,6.59,7.05,6.57,6.68,213026711.0,1435476246.0,0.1516859758485126
2025-08-26,7.06,7.56,6.83,6.85,249274152.0,1780960885.0,0.17749601832762868
2025-08-27,6.82,7.05,6.56,6.56,195568571.0,1331755896.0,0.13925488216092358
2025-08-28,6.51,7.87,6.5,7.87,290126732.0,2133073851.0,0.20658515665277244
2025-08-29,8.4,8.53,7.66,7.77,350316751.0,2799539605.0,0.24944354622043335
2025-09-01,7.83,7.95,7.59,7.62,206065665.0,1591678982.0,0.1467293530359096
2025-09-02,7.73,8.01,7.26,7.33,198297962.0,1498334622.0,0.14119834894667865
2025-09-03,7.3,7.43,7.1,7.13,123632961.0,894515051.0,0.08803302763438947
2025-09-04,7.09,7.44,6.76,6.97,159742027.0,1136259881.0,0.11374453999580572
2025-09-05,6.93,7.1,6.86,7.07,123807889.0,867662174.0,0.08815758536829368
2025-09-08,7.2,7.52,7.1,7.38,197053206.0,1447260130.0,0.14031201864722015
2025-09-09,7.19,7.22,6.88,6.92,146738839.0,1029236988.0,0.10448560128496176
2025-09-10,6.91,7.11,6.63,6.98,155977042.0,1073413768.0,0.11106367701341656
